"OBJECTID","POINT_X","POINT_Y"
20,498159.1358,315471.5647
20,498261.5029,315471.5647
20,498262.2784,315362.9935
20,498159.9113,315362.9935
20,498160.6868,315393.2383
20,498225.8295,315394.0138
20,498223.503,315434.3403
20,498159.1358,315435.1158
20,498159.1358,315471.5647
21,498239.0132,315362.9935
21,498262.2784,315362.9935
21,498265.3804,315312.5855
21,498259.9519,315307.9324
21,498252.1968,315297.8508
21,498246.7682,315295.5243
21,498239.7887,315290.8712
21,498241.3397,315276.1366
21,498163.7888,315275.3611
21,498163.0133,315302.5038
21,498221.952,315303.2794
21,498221.952,315310.2589
21,498224.2785,315318.7895
21,498230.4826,315323.4426
21,498240.5642,315325.7691
21,498239.0132,315362.9935
22,498066.0748,315359.116
22,498090.8911,315359.8915
22,498095.5441,315279.2386
22,498070.7278,315280.0141
22,498066.0748,315359.116
23,498099.4217,315350.5854
23,498107.1767,315347.4833
23,498108.7278,315331.1977
23,498100.9727,315332.7487
23,498099.4217,315350.5854
24,498130.442,315335.0752
24,498154.4827,315337.4017
24,498154.4827,315327.3201
24,498131.993,315326.5446
24,498130.442,315335.0752
25,498133.544,315312.5855
25,498152.9317,315315.6875
25,498152.9317,315303.2794
25,498134.3195,315304.0549
25,498133.544,315312.5855
26,498114.1563,315356.0139
26,498131.993,315356.7894
26,498131.993,315349.8099
26,498121.9114,315349.8099
26,498121.1359,315343.6058
26,498115.7073,315343.6058
26,498114.1563,315356.0139
27,498118.0339,315318.014
27,498123.1004,315318.9342
27,498123.8365,315310.2847
27,498118.1316,315310.4687
27,498118.0339,315318.014
28,498116.1072,315337.8894
28,498125.6769,315337.5214
28,498124.7567,315328.1358
28,498116.2912,315327.2156
28,498116.1072,315337.8894
29,498117.2114,315307.1561
29,498122.7323,315307.1561
29,498123.1004,315301.6352
29,498117.7635,315301.8192
29,498117.2114,315307.1561
30,498145.4909,315357.8603
30,498155.306,315357.8603
30,498155.306,315349.5175
30,498145.0002,315350.0083
30,498145.4909,315357.8603
31,498123.8979,315288.9097
31,498131.7499,315289.4005
31,498131.9953,315283.5115
31,498124.8794,315283.5115
31,498123.8979,315288.9097
32,498145.0002,315288.6644
32,498154.0791,315288.9097
32,498154.0791,315283.5115
32,498144.5094,315283.7568
32,498145.0002,315288.6644
33,498091.999,315244.006
33,498142.5464,315245.7236
33,498144.2641,315206.2181
33,498094.9435,315203.7644
33,498091.999,315244.006
34,498075.8042,315165.2404
34,498113.3467,315166.4673
34,498112.856,315137.0222
34,498076.0496,315136.2861
34,498075.8042,315165.2404
35,497844.2787,315268.5981
35,497863.4725,315270.7792
35,497863.4725,315266.417
35,497918.4366,315265.9807
35,497919.3091,315268.5981
35,497924.98,315268.5981
35,497925.4162,315272.5241
35,497941.1203,315273.3965
35,497944.61,315166.958
35,497902.2964,315164.7769
35,497899.679,315170.884
35,497894.0081,315170.884
35,497893.5719,315163.032
35,497847.3322,315162.5958
35,497844.2787,315268.5981
36,497950.1355,315448.7584
36,497971.6559,315451.0849
36,497980.3804,315277.7588
36,497958.2784,315277.7588
36,497950.1355,315448.7584
37,497798.3298,315448.7584
37,497819.2685,315449.9216
37,497823.9216,315276.0139
37,497805.891,315276.5955
37,497798.3298,315448.7584
38,497745.983,315594.7478
38,497841.3705,315597.656
38,497844.2787,315553.452
38,497749.4728,315553.452
38,497745.983,315594.7478
39,497490.6468,315587.7682
39,497536.5957,315590.0948
39,497537.1773,315577.8805
39,497491.2285,315576.1356
39,497490.6468,315587.7682
40,497525.5447,315562.1765
40,497572.0752,315564.503
40,497572.0752,315553.452
40,497527.8712,315551.1255
40,497525.5447,315562.1765
41,497561.0242,315537.1663
41,497605.2282,315540.0745
41,497606.0489,315527.6004
41,497561.8449,315524.6923
41,497561.0242,315537.1663
42,497574.9834,315504.0133
42,497593.5956,315504.0133
42,497592.4323,315510.4113
42,497600.5752,315509.248
42,497600.5752,315504.595
42,497608.718,315502.8501
42,497609.2996,315475.5134
42,497561.0242,315474.9318
42,497559.2793,315492.3807
42,497573.2385,315494.1256
42,497574.9834,315504.0133
43,497509.8407,315491.7991
43,497524.3815,315470.8603
43,497540.0855,315470.2787
43,497542.412,315460.9726
43,497522.0549,315459.2277
43,497512.1672,315437.7074
43,497502.8611,315441.1972
43,497511.0039,315465.6257
43,497498.2081,315484.8195
43,497509.8407,315491.7991
44,497565.6773,315588.3499
44,497594.1772,315589.5131
44,497595.3405,315581.9519
44,497565.0956,315579.0438
44,497565.6773,315588.3499
45,497595.9221,315568.5744
45,497604.6466,315570.9009
45,497604.6466,315549.9622
45,497597.0854,315549.3806
45,497595.9221,315568.5744
46,497659.0251,315443.1278
46,497709.627,315444.8727
46,497710.1147,315430.7298
46,497659.5127,315428.985
46,497659.0251,315443.1278
47,497677.0556,315373.9137
47,497692.7597,315373.9137
47,497692.7597,315340.1791
47,497677.0556,315340.1791
47,497677.0556,315373.9137
48,497660.1883,315404.1586
48,497714.28,315404.7402
48,497714.4178,315391.927
48,497660.3261,315391.3454
48,497660.1883,315404.1586
49,497523.505,315201.1692
49,497597.3721,315202.9141
49,497598.5796,315151.8003
49,497524.7124,315150.0554
49,497523.505,315201.1692
50,497691.5964,315211.6386
50,497720.0963,315213.3835
50,497721.8412,315200.5876
50,497728.2392,315199.4243
50,497727.6575,315161.6183
50,497721.8412,315159.8734
50,497723.0045,315138.3531
50,497727.0759,315138.3531
50,497727.0759,315123.8123
50,497699.7392,315124.3939
50,497699.7392,315137.1898
50,497710.2086,315137.7714
50,497709.0453,315161.6183
50,497694.5046,315161.6183
50,497691.5964,315211.6386
51,497620.0558,315140.098
51,497630.5251,315142.4245
51,497633.4333,315117.996
51,497669.4944,315119.7409
51,497668.3312,315135.4449
51,497645.0659,315134.8633
51,497643.9026,315143.0061
51,497669.4944,315144.1694
51,497667.7495,315176.7407
51,497684.6168,315176.7407
51,497689.8515,315105.7817
51,497621.8007,315103.4552
51,497620.0558,315140.098
52,497618.8925,315188.955
52,497668.9128,315189.5366
52,497667.1679,315233.159
52,497648.5557,315231.9957
52,497647.9741,315239.5569
52,497679.3822,315238.9753
52,497681.127,315234.9039
52,497688.1066,315234.9039
52,497689.2699,315227.9243
52,497682.2903,315226.1794
52,497684.6168,315191.2815
52,497684.6168,315176.7407
52,497618.8925,315176.7407
52,497618.8925,315188.955
53,497614.2394,315201.1692
53,497651.4639,315201.7509
53,497650.8822,315196.5162
53,497615.9843,315195.3529
53,497614.2394,315201.1692
54,497620.6374,315219.1998
54,497654.372,315222.108
54,497652.6271,315212.2202
54,497622.9639,315210.4753
54,497620.6374,315219.1998
55,497621.8007,315234.9039
55,497642.1578,315234.9039
55,497644.4843,315227.3426
55,497621.8007,315225.5978
55,497621.8007,315234.9039
56,497531.6478,315135.4449
56,497588.6477,315136.6082
56,497589.077,315115.5714
56,497532.0771,315114.4081
56,497531.6478,315135.4449
57,497636.9231,315168.0163
57,497647.9741,315168.0163
57,497647.9741,315151.149
57,497636.9231,315151.149
57,497636.9231,315168.0163
