ID,名称,建造时间,建筑面积,占地面积,层数,结构类型,层高,特殊情况,结构功能
569,建筑节能楼,2005,0,2068.54824,4,框架结构,4, ,实验室
570,技术科学楼,1998,0,7305.3626,5,框架剪力墙,4, ,实验室
571,建筑设计中心,2001,0,2369.14283,4,框架结构,3.5, ,设计楼
572,环境节能楼,2006,0,3164.57996,10,框架剪力墙,3.5, ,实验室
573,刘卿楼,2008,0,2055.81824,11,框架剪力墙,4, ,教学楼
574,英士楼,2009,0,717.81442,11,框架剪力墙,4, ,教学楼
575,伟清楼,2008,0,666.04786,11,框架剪力墙,4, ,实验室
576,美术学院大楼,2005,0,17201.62021,5,框架剪力墙,4, ,教学楼
577,三教（1段）,1980,0,1123.47737,3,框架结构,4, ,教学楼
578,三教（2段）,1980,0,1101.02314,3,框架结构,4, ,教学楼
579,三教（3段）,1980,0,1484.4262,5,框架剪力墙,4, ,教学楼
580,工物馆,1957,0,4900.30348,4,砖混结构,4, ,教学楼
581,西主楼,1956,0,5860.45209,4,框架结构,4.199999, ,办公楼
582,焊接馆,1960,0,1967.35412,3,砖混结构,4, ,实验楼
583,东主楼,1956,0,5633.12186,4,框架结构,4.199999, ,办公楼
584,东阶梯教室,1960,0,530.43518,2,框架结构,3.5, ,教学楼
585,基础工业训练中心,1970,0,4872.01775,2,框架剪力墙,3, ,办公楼
586,设备仪器厂,1975,0,3323.19959,3,框架结构,3, ,厂房
587,经管学院（舜德楼&伟伦楼）,1995,0,7774.64369,5,框架剪力墙,4, ,教学楼
588,微电子所,1983,0,2907.67665,4,框架结构,3.5, ,实验室
589,公管学院,1985,0,1342.88286,5,框架剪力墙,4, ,教学楼
590,能科楼A,1987,0,1580.85228,5,框架剪力墙,3.5, ,实验室
591,能科楼B,1987,0,1069.56596,7,框架剪力墙,4, ,实验室
592,建筑系,1992,0,3271.54846,5,框架剪力墙,4, ,教学楼
593,学研大厦,2000,0,4592.99257,12,框架剪力墙,3.5, ,出版社
594,工物系报告厅,2000,0,488.35517,2,框架结构,3.5, ,实验室
595,艺术博物馆（在建）,2014,0,10106.8991,3,框架剪力墙,6, ,博物馆
596, ,1982,0,769.71477,3,砖混结构,3, ,住宅
597, ,1982,0,564.7358,3,砖混结构,3, ,住宅
598, ,1982,0,72.78627,2,砖混结构,3, ,住宅
599, ,1982,0,56.19528,2,砖混结构,3, ,住宅
600, ,1982,0,379.23786,2,砖混结构,3, ,住宅
601, ,1982,0,432.77055,2,砖混结构,3, ,住宅
602, ,1982,0,130.41319,2,砖混结构,3, ,住宅
603, ,1982,0,346.50579,3,砖混结构,3, ,住宅
604, ,1982,0,91.3581,2,砖混结构,3, ,住宅
605, ,1982,0,636.33275,2,砖混结构,3, ,住宅
606, ,1982,0,321.40132,2,砖混结构,3, ,住宅
607, ,1982,0,306.27319,2,砖混结构,3, ,住宅
608, ,1982,0,180.57417,2,砖混结构,3, ,住宅
609, ,1982,0,90.39412,2,砖混结构,3, ,住宅
610, ,1982,0,269.41623,2,砖混结构,3, ,住宅
611, ,1982,0,194.48919,2,砖混结构,3, ,住宅
612, ,1982,0,369.17623,2,砖混结构,3, ,住宅
613, ,1982,0,138.77558,2,砖混结构,3, ,住宅
614, ,1982,0,115.99308,2,砖混结构,3, ,住宅
615, ,1982,0,414.67508,2,砖混结构,3, ,住宅
616, ,1982,0,429.37458,2,砖混结构,3, ,住宅
617, ,1982,0,1243.5041,2,砖混结构,3, ,住宅
618, ,1980,0,104.52322,2,砖混结构,3, ,住宅
